companyName,isReviewVerified,Date of Review,Rating,reviewTitle,reviewUrl
Avant,TRUE,2024-03-21T07:08:29.000Z,5,Great customer service there when you need them,https://trustpilot.com/reviews/65fbc0cd9cbe94be4de13887
Avant,TRUE,2024-03-21T16:42:10.000Z,5,Very reliable,https://trustpilot.com/reviews/65fc47425832d415f68a5dc6
Avant,FALSE,2024-03-19T08:02:42.000Z,1,Avant has some of the worst customer…,https://trustpilot.com/reviews/65f92a827b2db5e133678aa7
Avant,TRUE,2024-03-16T04:58:37.000Z,5,I’m just appreciative of the quick…,https://trustpilot.com/reviews/65f50adc2b2fa2c210b2339d
Avant,TRUE,2024-03-21T17:27:59.000Z,5,When I called to explain my card…,https://trustpilot.com/reviews/65fc51febeb6f539890a3868
Avant,TRUE,2024-03-14T18:33:45.000Z,5,Avant is my Advantage,https://trustpilot.com/reviews/65f326e83973d8ff6e34cef0
Avant,TRUE,2024-03-17T21:21:40.000Z,5,Very quick and easy,https://trustpilot.com/reviews/65f742c36a48f47bcf271634
Avant,TRUE,2024-03-16T18:43:17.000Z,5,Avant gave me a chance with my bad…,https://trustpilot.com/reviews/65f5cc2429d17a6146fee0c9
Avant,TRUE,2024-03-18T16:57:55.000Z,5,Excellent Prompt Courteous Service.,https://trustpilot.com/reviews/65f85673499cac2c18675a1a
Avant,TRUE,2024-03-13T17:07:13.000Z,5,After looking into credit card…,https://trustpilot.com/reviews/65f1c1218f965f3c9926979b
Avant,TRUE,2024-03-20T00:44:36.000Z,5,Getting a loan was fast,https://trustpilot.com/reviews/65fa1553627c3bd7d6446980
Avant,TRUE,2024-03-20T16:59:27.000Z,5,Thorough process but easy to apply,https://trustpilot.com/reviews/65faf9ceb4b650504ab4f268
Avant,FALSE,2024-03-11T19:25:58.000Z,5,So far so good!,https://trustpilot.com/reviews/65ef3ea5849e52146c0bd0aa
Avant,TRUE,2024-03-20T23:27:37.000Z,1,Why have you put my account in…,https://trustpilot.com/reviews/65fb54c8fcdebdd37bef4618
Avant,TRUE,2024-03-18T18:21:25.000Z,5,Avant was very reliable when the time came,https://trustpilot.com/reviews/65f86a0531171bbc2822a53a
Avant,TRUE,2024-03-11T17:43:14.000Z,5,Englisch not perfekt but happy,https://trustpilot.com/reviews/65ef26916081e4c47dd33464
