"companyName","isReviewVerified","reviewCompanyResponse","reviewDate","reviewDescription","reviewRatingScore","reviewTitle","reviewUrl"
"RISEcredit.com","true","Hi Erika. We love to hear from happy customers and appreciate you recommending us to others! Please let us know if you ever need assistance with your account. Thanks for being our customer.

Your RISEcredit.com Team","2024-03-14T23:05:33.000Z","It was and easy an really fast process, the next day I have the money in my account, you have access to all the information about paying your loan thru the app. Super recommended","5","It was and easy an really fast process","https://trustpilot.com/reviews/65f3669db95fa22ee68448b1"
"RISEcredit.com","true","Hi Rebecca. Thanks so much for posting about your experience and for choosing us! We’re here if you ever need assistance. Thanks again.

Your RISEcredit.com Team","2024-03-14T20:24:45.000Z","So quick and easy!!! I was surprised they accepted my poor credit score.","5","So quick and easy!!","https://trustpilot.com/reviews/65f340ec221b00a9e45c54be"
"RISEcredit.com","true","Hi Daniel! We’re always happy to lend a hand. Please let us know if there’s anything else we can do to help with your account.

Your RISEcredit.com Team","2024-03-15T19:50:46.000Z","Thank you great experience no hassle pain free.thanks for the help when nobody else would","5","Thank you great experience no hassle…","https://trustpilot.com/reviews/65f48a75946131b1bec01655"
"RISEcredit.com","true","Thanks for sharing your experience with us! We’re always grateful to help customers like you. Thank you.

Your RISEcredit.com Team","2024-03-14T18:16:15.000Z","Very pleased 😀 they were fast and gave me a chance and when you pay off you can another loan next day. 5 star from me","5","😊 happy","https://trustpilot.com/reviews/65f322ce5a82d35937c1cfe7"
"RISEcredit.com","true","Cynthia, we’re so happy to hear that the process was easy and want to welcome you to the RISE family! If we can assist with anything in the future, please reach out to us.
Your RISE Team
","2024-03-05T05:54:53.000Z","It was easy to complete the application online. Received response of approval in minutes. Money was in my account the next day. Easiest process I've ever experienced!","5","Easy money!","https://trustpilot.com/reviews/65e6978dbb432b1db26da9e2"
"RISEcredit.com","true","Pedro, we regret to hear of your dissatisfaction. On our website, we disclose that it’s an expensive form of credit and display the rates and terms by state. We review the cost of the loan in great detail in the loan agreement before the option to accept the loan is presented. We also offer a five full business day rescind guarantee in case you decide that the loan isn’t right for you. If there are additional questions or concerns, please email us rise_spokesperson@risecredit.com.
Your RISEcredit.com Team","2024-03-01T20:20:52.000Z","It is one of the worst credits I have ever had in my life, it is definitely my fault for not reading the interest rate correctly, it is exaggeratedly expensive!! I had the credit for 7 months and of the 4 thousand they lent me, the balance I settled was $3,750!!!! In the 7 months I only paid 250 of the balance!! and my payments were $360 dollars a month!! I would never recommend this credit company because they take advantage of people's needs!! I understand that there must be a profit but this interest rate is an exaggeration!!!","1","It is one of the worst credits I have…","https://trustpilot.com/reviews/65e21c84c72cb31b04e1c061"
"RISEcredit.com","true","Hi Guy. We love to hear from happy customers and appreciate you recommending us to others!

Please let us know if you ever need assistance with your account. Thanks for being our customer.

Your RISEcredit.com Team
","2024-03-13T18:01:10.000Z","Very nice people and very helpful..
I would recommend y'all to my family and friends.","5","Very nice people and very helpful..","https://trustpilot.com/reviews/65f1cdc6ca0a9310e1b3eee4"
"RISEcredit.com","true","Hi Ginny. Thanks so much for posting about your experience and for choosing RISE! We’re here if you ever need assistance. Thanks again.
Your RISE Team","2024-03-07T19:00:21.000Z","Came through quickly was an easy application process and really helped in a pinch.","5","Excellent choice…","https://trustpilot.com/reviews/65e9f2a49264139df5f07b14"
"RISEcredit.com","true","Hi Shawn. Thanks so much for posting about your experience and for choosing us! We’re here if you ever need assistance. Thanks again.

Your RISEcredit.com Team
","2024-02-04T03:03:18.000Z","I have now used Rise several times when I needed extra money right away. The process is extremely fast and they give you different payment options, showing you everything up front before you accept the tearms. I will warn the interest rates are high and it may not be the best choice for everyone. The loans do not have any early payment penalties, so if you are able to pay extra and/or pay it off quickly you can avoid the high cost.","5","Lifesaver If used Responsibly","https://trustpilot.com/reviews/65bee255dc004eaf5a2487f1"
"RISEcredit.com","true","Hi Francisca! We’re always happy to lend a hand. Please let us know if there’s anything else we can do to help with your account.

Your RISEcredit.com Team","2024-02-22T19:14:46.000Z","I had an unexpected expense come up and even though I work wasn't able to come up with the full amount needed. I had heard about Rise and decided to check it out. I applied and was instantly approved. Due to the weekend and a bank holiday on Monday I got it within 3 days! It was in my account by 4am!!! I am thankful and grateful that, even without the best credit, I was able to get this loan and pay what was needed!!! Thank you Rise!!!!","5","I had an unexpected expense come up and…","https://trustpilot.com/reviews/65d781062faf171ad86dc177"
