"companyName","isReviewVerified","reviewCompanyResponse","reviewDate","reviewDescription","reviewLanguage","reviewRatingScore","reviewTitle","reviewUrl"
"OneMain Financial","true","Hi Sara! Putting customers first is what we’re all about. Thanks for the positive feedback. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-12T23:55:33.000Z","This was a super simple and easy process. Signing took about 45 minutes in office, I had my funds by the time I made it to work. It was super fast, quick and very convenient.

The gal that helped me was an absolute sweetheart.

I'd definitely recommend them. For me it worked out amazingly well.","all","5","This was a super simple and easy…","https://trustpilot.com/reviews/65f0cf5511893ae041bb576f"
"OneMain Financial","true","Putting customers first is what we’re all about. Thanks for the positive feedback. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-13T03:20:46.000Z","Process was much quicker than before with updated systems. The fact that I didn't have to go deposit the check into my bank account was great. The staff is always detailed in explaining the contract and they are always professional.","all","5","Process was much quicker than before…","https://trustpilot.com/reviews/65f0ff6e742763d14f54b19c"
"OneMain Financial","true","We love to read great things about our customers’ interactions with LoBryant. Thank you for sharing your experience with us! -SG
","2024-03-13T01:40:55.000Z","LoBryant was very helpful and insightful during the entire process. He made it seamless and easy and I never felt overly pushed to buy products but he did make sure I understood the ramifications for turning them down which I appreciated.","all","5","LoBryant was very helpful and…","https://trustpilot.com/reviews/65f0e807e3571a8e622342f5"
"OneMain Financial","false","Hi Victor. The interest rate you receive is based on our review of several factors, including your ability to meet our credit standards, which includes things like your credit history and your income after your monthly expenses. Please feel free to reach out to your local branch if you have any questions. Your loan specialist would be happy to address any concerns you may have and determine the best solution for your situation: https://spr.ly/OMFBranches. Thank you. -SG
","2024-03-12T01:47:02.000Z","I would never recommend OneMain Financial to anyone, unless you are desperate for the loan. Even with good credit score they still get you with high interest rate and the longer your loan, the more high interests they “rob” you of your hard earned money. I learned my lesson of borrowing money from loan companies like OneMain Financial, stay away from it , never again!!!","all","1","I would never recommend OneMain…","https://trustpilot.com/reviews/65ef97f666ae153a328357ac"
"OneMain Financial","true","Hi there Douglas! Thank you for your kind words. Every step counts and leads to better financial health. We’re proud to be on the journey with you. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-15T13:42:17.000Z","The agents were very helpful with guidance and understanding.
Their navigation skills helping us complete the transaction was key for us.

Thank you","all","5","The agents were very helpful with…","https://trustpilot.com/reviews/65f22f61284a46f269032580"
"OneMain Financial","true","Hi there Sharon! We are very happy to hear about your positive experience with Tina. We look forward to helping you reach your goals. -SG
","2024-03-14T14:03:44.000Z","Tina and her Staff are great to deal with. They make the loan process Easy, non-stressing, understandable, and are personable. They are truly a great group of workers!","all","5","Their knowledge of how to really help you","https://trustpilot.com/reviews/65f2e7a0730c873ddbb2d9d4"
"OneMain Financial","true","Hello Rodney. Putting customers first is what we’re all about. Thanks for the positive feedback. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-13T01:06:00.000Z","The greatest thing about my most recent experience with OMF is that I felt like the most important person in the world when it counted the most. Super speedy response and fluid-like transition into a new loan experience.","all","5","The greatest thing about my most recent…","https://trustpilot.com/reviews/65f0dfd79715ac1c44799417"
"OneMain Financial","true","Thank you for taking the time to provide us with feedback. We see that your star rating does not seem to match with the review you provided. If you'd like to edit your review, please:

1. Log on to your Trustpilot account
2. Click on your profile picture (top right)
3. Click GO to my profile
4. Find the review you are updating and click Edit
5. After you are done changing the rating, click on SUBMIT YOUR REVIEW NOW

Thanks. -SG
","2024-03-13T12:00:47.000Z","Overall the Representative, Ms. Hazel, was spot on. Very helpful, understanding and Professional. The deal was the amount allocated! I have a 99% on time payment history of 9 years, BUT, Only a minimal amount of approval loan. Just Love it","all","2","Overall the Representative The Ultimate Proffesional","https://trustpilot.com/reviews/65f1794fcc2115e017d5353e"
"OneMain Financial","true","Thank you for choosing us and for sharing your experience! Improving finances is a journey and we're glad to start that process with you. Don't forget to take advantage of our helpful articles, tools, and tips at: https://www.onemainfinancial.com/resources -SG
","2024-03-13T03:45:43.000Z","My experience with One Main Financial was fast, friendly, and helpful. This was my second time using this company for some financial help. Thank you!","all","5","My experience with One Main Financial…","https://trustpilot.com/reviews/65f105475cf6cc7efd88e4ff"
"OneMain Financial","true","Hello Brenda! Putting customers first is what we’re all about. Thanks for the positive feedback. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-14T02:06:44.000Z","It was an easy and professional experience. I am very satisfied with the product that they offered and funds were available in a timely manner.","all","5","It was an easy and professional…","https://trustpilot.com/reviews/65f23f935f79a0a1c3099b0c"
"OneMain Financial","true","Hi there Nora! Thank you for your kind words. Every step counts and leads to better financial health. We’re proud to be on the journey with you. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-13T14:44:36.000Z","It was explained step by step no pressure, friendly, honest and hassle free. The agent was professional and knowledgeable about the loans and guidelines.","all","5","Great Professional","https://trustpilot.com/reviews/65f19fb34dcc76fdf2a65bb9"
"OneMain Financial","true","Hi Albert! Putting customers first is what we’re all about. Thanks for the positive feedback. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-13T17:11:45.000Z","I was very happy with the represenative who helped me get approved same day and money was deposited next day. It was simple !!! Thank You OneMain financial","all","5","I was very happy with the represenative…","https://trustpilot.com/reviews/65f1c230443fe1d10b012ff7"
"OneMain Financial","true","Thank you for your kind words. Every step counts and leads to better financial health. We’re proud to be on the journey with you. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-13T03:37:44.000Z","One Main has been there when noone else bothered, they were Professional, Knowledgeable, And Courteous. I am truly grateful.","all","5","exceptional","https://trustpilot.com/reviews/65f10367fd6cc65efc960898"
"OneMain Financial","true","","2024-03-15T23:40:35.000Z","Agent was knowledgeable and answered questions appropriately. The entire process seemed seamless with a quick response time.","all","5","Agent was knowledgeable and answered…","https://trustpilot.com/reviews/65f4c053f99d9071b1b662dd"
"OneMain Financial","true","Thank you for choosing us and for sharing your experience! Improving finances is a journey and we're glad to start that process with you. Don't forget to take advantage of our helpful articles, tools, and tips at: https://www.onemainfinancial.com/resources -SG
","2024-03-12T23:53:02.000Z","At first, I was going to use my car as collateral and changed my mind for many reason and did it as an unsecured. They were fabulous in fixing it.","all","5","At first","https://trustpilot.com/reviews/65f0cebdc10f867d14adfbae"
"OneMain Financial","false","We'd like to learn more to see how we can help. Please send us an email at omfsocial@omf.com with subject line ""Trustpilot complaint"" and include your first and last name, Trustpilot username, phone number, zip code, and a few additional details about your experience. -SG
","2024-03-13T22:50:10.000Z","Absolutely horrible customer service. I received my credit card and activated it. The website would not let me log in. I went to reset my password and received an email that my account was locked and that I would need to call Customer Service. I called and listened to their garbage automated phone system that would not recognize voice commands (as they said it would) and none of the options listed by the phone system provided anything remotely related to unlocking an account. The automated phone system eventually hung up on me. When I called back again, I just picked an option hoping the Customer Service Representative would be able to transfer me to the correct person. My call was answered by someone with a very thick Indian accent that had me verify my account information. She was able to transfer me to someone who could reset my account, but I had to wait on hold for a very long time. After re-verifying all of my account information again, this new CSR was able to unlock my account.","all","1","Absolutely horrible customer service","https://trustpilot.com/reviews/65f21182228134a586092688"
"OneMain Financial","true","Thank you for your kind words. Every step counts and leads to better financial health. We’re proud to be on the journey with you. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-13T11:23:59.000Z","The loan agent was very helpful and understanding about what I needed. She gave me several options and I chose the one more suitable for me.","all","5","The loan agent was very helpful and…","https://trustpilot.com/reviews/65f170af9fd0b704717e1c2b"
"OneMain Financial","true","Hi Tajuana! We are very happy to hear about your positive experience with Kierra. We look forward to helping you reach your goals. -SG
","2024-03-12T23:43:45.000Z","Kiera did an excellent job. Great customer and professionalism. I would definitely refer others to her. She made the process understandable and easy. Thank you!","all","5","Kiera did an excellent job!","https://trustpilot.com/reviews/65f0cc915f6cad2a517dca53"
"OneMain Financial","true","Hi there, Vivian! Thank you for choosing us and for sharing your experience! Improving finances is a journey and we're glad to start that process with you. Don't forget to take advantage of our helpful articles, tools, and tips at: https://www.onemainfinancial.com/resources -SG
","2024-03-14T18:19:10.000Z","I received an in-depth professional introduction to the OneMain Financial products and services and how both would meet my needs. Your representative was absolutely professional and lead me through the process demonstrating the highest level of confident, knowledge, and integrity. It was the most pleasant process that I have experienced in years. Thank you!","all","5","In-depth Professional Experience","https://trustpilot.com/reviews/65f3237e0af444e147657e68"
"OneMain Financial","true","Hi Shane! Thank you for your kind words. Every step counts and leads to better financial health. We’re proud to be on the journey with you. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-13T18:17:10.000Z","Made it very easy for me to get a personal loan interest rates are high.But overall a good company work with would recommend","all","5","Made it very easy for me to get a…","https://trustpilot.com/reviews/65f1d1860472436adbbef8e3"
"OneMain Financial","true","Hi Ronald! Putting customers first is what we’re all about. Thanks for the positive feedback. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-13T00:06:21.000Z","Very professional and right on top of things. Loan process was quick and smooth. Thank you for making it a good experience.","all","5","Smooth","https://trustpilot.com/reviews/65f0d1dc9f24c147a7a1f52d"
"OneMain Financial","true","We really appreciate you taking the time to leave such a positive review, Gerard. We aim to provide an excellent experience for all of our customers and we are so happy that we were able to do that for you. Thanks again! -SG
","2024-03-13T17:47:49.000Z","The two ladies were helpful, caring, respectful and professional.
It was quick and easy and I couldn't be more thankful.","all","5","A wonderful experience","https://trustpilot.com/reviews/65f1caa5b2fd78ecbaed6a7f"
"OneMain Financial","true","Thank you so much for taking the time to leave a review, Tameika. Our team members strive to provide professional and friendly service to all of our customers. We truly do appreciate the recognition. -SG
","2024-03-13T00:21:22.000Z","The staff was very nice and I was in and out they are very professional if you need a loan go to OneMain they will make it happen","all","5","The staff was very nice and I was in…","https://trustpilot.com/reviews/65f0d561efbe3cfd05890e1c"
"OneMain Financial","true","Hi there Teresa! We really appreciate you taking the time to leave such a positive review. We aim to provide an excellent experience for all of our customers and we are so happy that we were able to do that for you. Thanks again! -SG
","2024-03-13T16:51:00.000Z","Our representative was kind, courteous and very knowledgeable. He worked very well with us to fulfill our needs.","all","5","Our representative was kind","https://trustpilot.com/reviews/65f1bd53f27a354adec1c67b"
"OneMain Financial","true","We take pride in providing excellent service and we are so glad you had a positive experience with Lisa. Thank you for sharing! -SG
","2024-03-06T14:48:17.000Z","My experience was awesome. Lisa assisted me from start to finish, and even stayed slightly after hours to help me achieve the finance options I was looking for. This is my second time conducting business with One Main, and it's my second time being completely satisfied!!!","all","5","Excellent Service","https://trustpilot.com/reviews/65e8661036249f585f01a88e"
"OneMain Financial","true","That's what we love to hear, Andres! Thank you for sharing your experience with us. Our team members work very hard to make sure they understand and meet our customer's needs! -SG
","2024-03-12T23:52:23.000Z","It’s been great getting help from one main financial
Been so helpful
I will recommend friends and family","all","5","It’s been great getting help from one…","https://trustpilot.com/reviews/65f0ce968d49978514324a45"
"OneMain Financial","false","Hi Chris. We apologize for your frustration. We understand that working to improve your financial situation can be challenging, and we try our best to accommodate. Thank you for considering OneMain, and if you'd like to learn more about your application, please call 855-663-6246. -SG
","2024-03-06T15:26:29.000Z","Very little information up front. I sent all required personal information and waited, then I was told we need more.. much more, repeatedly. Received phone calls every day that left no message and were hung up multiple times. Despite jumping through their hoops and weeks worth of harassment, I was denied. Specifically Sophie from Minnesota . They will drag you through the mud asking for near every detail of your life.","all","1","Deceptive","https://trustpilot.com/reviews/65e86f05bc4378ec6fc81d15"
"OneMain Financial","false","Dependent on the type of loan, decisions are made based on a variety of factors including credit history, income, and expenses. Not all loans require collateral, but those that do also take into account the value of that collateral. Please feel free to reach out to your local branch if you have any questions. Your loan specialist would be happy to address any concerns you may have and determine the best solution for your situation: https://spr.ly/OMFBranches. Thank you. -SG
","2024-03-07T19:50:01.000Z","I find it hard to believe any of these review are honest. These guys are criminals and will change your loan type half way thru they will go as far as to sign the previous owners signature to release interest on the title. Don't do business with OneMain","all","1","These guys are criminal","https://trustpilot.com/reviews/65e9fe488b78f9cd947c5eb5"
"OneMain Financial","true","","2024-03-16T13:58:06.000Z","I did it online it was quick and easy everyone was nice and professional","all","5","I did it online it was quick and easy…","https://trustpilot.com/reviews/65f5894db7b143df6ab2543b"
"OneMain Financial","true","We really appreciate you taking the time to leave such a positive review. We aim to provide an excellent experience for all of our customers and we are so happy that we were able to do that for you. Thanks again! -SG
","2024-03-15T08:06:14.000Z","They took time to help me when I got there just before they were closing. Treated me extremely well, very, very helpful.","all","5","They took time to help me when I got…","https://trustpilot.com/reviews/65f3e5554895dc1ecd2c9152"
"OneMain Financial","true","Putting customers first is what we’re all about. Thanks for the positive feedback. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-11T00:34:11.000Z","Very quick approval and fast cash. I received my money within 24 hours and there was plenty of support from their employees. Great service.","all","5","Fast quick approval and cash","https://trustpilot.com/reviews/65ee3562b0b4b0a4f1efd4c4"
"OneMain Financial","true","That's what we love to hear, JG! Thank you for sharing your experience with us. Our team members work very hard to make sure they understand and meet our customer's needs! -SG
","2024-03-13T04:38:17.000Z","I was in a bind financially and April went above and beyond to get me the money I needed onemainfinacial is great","all","5","Great customer service","https://trustpilot.com/reviews/65f11199e1347e40e0e9df23"
"OneMain Financial","true","We are very happy to hear about your positive experience with Bruce. We look forward to helping you reach your goals. -SG
","2024-03-13T03:54:18.000Z","Bruce was very informative, understanding, and so willing to assist in the process. He made everything a breeze!","all","5","Bruce was very informative","https://trustpilot.com/reviews/65f0fc624beb1378bf72b9e0"
"OneMain Financial","true","Hi there, Kathy! We appreciate your awesome review about your experience with Jamie! We strive to provide excellent service to all customers. Thank you! -SG
","2024-03-11T14:52:38.000Z","Jamie was super helpful, knowledgeable and friendly. She explained everything I needed to do and followed up quickly with me!","all","5","Experienced staff","https://trustpilot.com/reviews/65eefe950e6f1e5e9cd38a5c"
"OneMain Financial","true","Thank you so much for taking the time to leave us this amazing review about your experience with Pamela. We're so glad we could help. -SG
","2024-03-06T19:55:11.000Z","Pamela at OneMain was a great help , she called and let me know what info was needed to complete my loan . When I arrived to OneMains office Pamela's coworkers also helped me to finish up my requirements , They got me in and out fast . 40 minutes later my money was on my account . Thank you OneMain","all","5","In and out fast","https://trustpilot.com/reviews/65e8adff476d62160f4e7e82"
"OneMain Financial","true","Hi there Crystal! Thank you so much for taking the time to leave a review for Natashia. Our team members strive to provide professional and friendly service to all of our customers. We truly do appreciate the recognition. -SG
","2024-03-13T14:32:49.000Z","My customer rep Natashia was accommdating and everything was handled very professional. My loan was processed at High Point on N Main location.","all","5","Superior Customer Service","https://trustpilot.com/reviews/65f19cf078990728b64b19cf"
"OneMain Financial","true","We really appreciate you taking the time to leave such a positive review. We aim to provide an excellent experience for all of our customers and we are so happy that we were able to do that for you. Thanks again! -SG
","2024-03-06T01:47:05.000Z","OneMain Financial was there when I needed it. I have been trying for about a year to get my debt cleaned up. I needed a little help before my tax refund arrived and they were able to help me out. Once my tax refund was here, I paid the loan off. I am coming out ahead and appreciated the help and special attention the team gave to my request.","all","5","OneMain Financial was there when I…","https://trustpilot.com/reviews/65e7aef86f81780ab68e70d7"
"OneMain Financial","true","Thank you so much for taking the time to leave a review for Erica. Our team members strive to provide professional and friendly service to all of our customers. We truly do appreciate the recognition. -SG
","2024-03-15T01:56:47.000Z","Our transaction was efficient,courteous and very satisfying. We are very appreciative. Thank you. Erica is a valuable employee. 5 star.","all","5","Our transaction was efficient,courteous…","https://trustpilot.com/reviews/65f38ebed7e906fbb0c31a91"
"OneMain Financial","true","That's what we love to hear! Thank you for sharing your experience with us. Our team members work very hard to make sure they understand and meet our customer's needs! -SG
","2024-03-13T05:28:36.000Z","They were so patient and polite. Service was far beyond expected. I’d recommend them to anyone.","all","5","They were so patient and polite","https://trustpilot.com/reviews/65f11d6304323dcfba49bafc"
"OneMain Financial","true","We are very happy to hear about your positive experience with June. We look forward to helping you reach your goals. -SG
","2024-03-13T00:16:28.000Z","June was very knowledgeable, very attentive, very professional, and on point from step one till the end.","all","5","June was very knowledgeable","https://trustpilot.com/reviews/65f0d43c5d994b0e132c3345"
"OneMain Financial","true","Thank you so much for taking the time to leave a review for Beverly. Our team members strive to provide professional and friendly service to all of our customers. We truly do appreciate the recognition. -SG
","2024-03-06T02:44:24.000Z","Beverly was outstanding. Excellent care from beginning to end. All aspects of loan procedure explained. Appreciate you all so much!
(And I missed seeing Hazel's sweet smile in the office)!!","all","5","Excellent Care","https://trustpilot.com/reviews/65e7bc67f97cbdcec983ef97"
"OneMain Financial","true","Thank you for choosing us and for sharing your experience, Mildred! Improving finances is a journey and we're glad to start that process with you. Don't forget to take advantage of our helpful articles, tools, and tips at: https://www.onemainfinancial.com/resources -SG
","2024-03-13T03:03:09.000Z","Everyone was so laid back and treated me like a person not just another customer.","all","5","Everyone was so laid back and treated…","https://trustpilot.com/reviews/65f0fb4d743566956c2b4d84"
"OneMain Financial","false","All standard installment loans follow a structure that applies initial payments to the interest, while final payments are applied to the principal. So long as all payments are made in full and on time; this will completely pay off your loan in the agreed terms. Please feel free to reach out to your loan specialist to review your account. Thanks. -SG","2024-03-07T01:03:09.000Z","Absolute worst company to deal with. They perform the old switcheroo on you after they promise you'll get a certain amount. Then they run your credit and fail to deliver what was promised. Furthermore, if you encounter hardships, they do not offer assistance; they put you on hold and then disconnect the call, pretending the line dropped while I'm at home on WiFi. They are a company filled with scam artists determined to exploit consumers. They misrepresent interest rates and do not clarify that it's a computed rate, ensuring that every month the CEOs benefit at your expense. If you do miss a payment, don't worry, they'll immediately report you as delinquent to all credit bureaus. They fail to report accurate information; while a dispute may remove it, it's the process that's burdensome. They engage in harassment and deceit, claiming they are here to help while they take advantage of you.","all","1","Absolute worst company to deal with scammers","https://trustpilot.com/reviews/65e8f62c9b2d6f6ff5f94d17"
"OneMain Financial","true","Hi Dori! We really appreciate you taking the time to leave such a positive review. We aim to provide an excellent experience for all of our customers and we are so happy that we were able to do that for you. Thanks again! -SG
","2024-03-13T00:14:17.000Z","The agent was clear and concise. She was welcoming and anticipated questions with clear answers in terms I could understand without an accounting degree!!","all","4","Debt Consolidation: The agent was clear and concise","https://trustpilot.com/reviews/65f0d3b9ad4f63781a4543c2"
"OneMain Financial","true","We really appreciate you taking the time to leave such a positive review. We aim to provide an excellent experience for all of our customers and we are so happy that we were able to do that for you. Thanks again! -SG
","2024-03-14T04:53:51.000Z","Perfect! Quick and friendly service. Would recommend to friends! Paid all of my credit cards off!","all","5","Perfect","https://trustpilot.com/reviews/65f266be8263fd7cd38ebf5d"
"OneMain Financial","true","Hello Ann! Putting customers first is what we’re all about. Thanks for the positive feedback. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-13T18:55:33.000Z","I able to at least get something to fix my little issue and everything went well and beyond","all","5","Expectional","https://trustpilot.com/reviews/65f1da84b5258c3d1987a221"
"OneMain Financial","true","Hi Jose! Thank you for your kind words. Every step counts and leads to better financial health. We’re proud to be on the journey with you. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-12T23:55:17.000Z","Quick, friendly efficient. They help you get what you need and when you need it. Absolutely recommend.","all","5","Great service","https://trustpilot.com/reviews/65f0cf44784fd879205b6d34"
"OneMain Financial","true","We love to read great things about our customers’ interactions with Tana. Thank you for sharing your experience with us! -SG
","2024-03-13T05:00:50.000Z","Tana was very helpful, she made things very easy for me to understand, and made the process easy. She was warm, friendly, and courteous.","all","5","Tana was very helpful","https://trustpilot.com/reviews/65f116e1153fa8ac3ae700a1"
"OneMain Financial","true","Thank you for your kind words. Every step counts and leads to better financial health. We’re proud to be on the journey with you. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-06T03:03:29.000Z","I needed help I was body slammed with a huge tax payment, car repair and other bills. I was frustrated on where I was going to get help dealing with this. One Main to the rescue and I was able to breathe a little easier knowing I was taking care of things","all","5","When you’re body slammed with expenses","https://trustpilot.com/reviews/65e7c0e04614d7f58484bb5f"
"OneMain Financial","true","Hi Jeanine! Thank you for choosing us and for sharing your experience! Improving finances is a journey and we're glad to start that process with you. Don't forget to take advantage of our helpful articles, tools, and tips at: https://www.onemainfinancial.com/resources -SG
","2024-03-13T00:07:27.000Z","Very helpful and kind, willing to help, even helped with other options on loan.","all","5","Very helpful and kind","https://trustpilot.com/reviews/65f0d21e044d487a6e4ff77f"
"OneMain Financial","true","Putting customers first is what we’re all about. Thanks for the positive feedback. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-13T22:48:23.000Z","I called in and put my application in and that same day I got my money approved","all","5","I called in and put my application in…","https://trustpilot.com/reviews/65f2111734eb51bee6fb4439"
"OneMain Financial","true","Thank you for your kind words. Every step counts and leads to better financial health. We’re proud to be on the journey with you. Don't forget: You may also manage your account online with our online account management tool, which you can find here: http://spr.ly/AccountManagement -SG
","2024-03-06T01:57:05.000Z","Received call from local office same day as applied and set up to sign loan the next day
After signing loan had money in my checking account within the hour.","all","5","Received call from local office same…","https://trustpilot.com/reviews/65e7b15095282e95734b63ff"
